,trial,source_voltage,voltage0,voltage1,current0
0,1,1000,-69,980,0.000171
1,2,1500,-105,1468,0.00103
2,3,2000,-105,1743,0.143887
3,4,2500,-77,1842,0.401785
4,5,3000,-45,1921,0.672905
5,6,3500,-11,1993,0.942651
