,trial,source_voltage,current0
0,1,0,0.0
1,2,3,0.0
2,3,7,0.0
3,4,10,0.0
4,5,14,0.0
5,6,17,0.0
6,7,21,0.0
7,8,24,0.0
8,9,28,0.0
9,10,31,0.0
10,11,35,0.0
11,12,38,0.0
12,13,42,0.0
13,14,45,0.0
14,15,49,0.0
15,16,52,0.0
16,17,56,0.0
17,18,59,0.0
18,19,63,0.0
19,20,66,0.0
20,21,70,0.0
21,22,73,0.0
22,23,77,0.0
23,24,80,0.0
24,25,84,0.0
25,26,87,0.0
26,27,91,0.0
27,28,94,0.0
28,29,98,0.0
29,30,101,0.0
30,31,105,0.0
31,32,108,0.0
32,33,112,0.0
33,34,115,0.0
34,35,119,0.0
35,36,122,0.0
36,37,126,0.0
37,38,129,0.0
38,39,133,0.0
39,40,136,0.0
40,41,140,0.0
41,42,143,0.0
42,43,147,0.0
43,44,150,0.0
44,45,154,0.0
45,46,157,0.0
46,47,161,0.0
47,48,164,0.0
48,49,168,0.0
49,50,171,0.0
50,51,175,0.0
51,52,178,0.0
52,53,182,0.0
53,54,185,0.0
54,55,189,0.0
55,56,192,0.0
56,57,196,0.0
57,58,199,0.0
58,59,203,0.0
59,60,206,0.0
60,61,210,0.0
61,62,213,0.0
62,63,217,0.0
63,64,220,0.0
64,65,224,0.0
65,66,227,0.0
66,67,231,0.0
67,68,234,0.0
68,69,238,0.0
69,70,241,0.0
70,71,245,0.0
71,72,248,0.0
72,73,252,0.0
73,74,255,0.0
74,75,259,0.0
75,76,262,0.0
76,77,266,0.0
77,78,269,0.0
78,79,273,0.0
79,80,276,0.0
80,81,280,0.0
81,82,283,0.0
82,83,287,0.0
83,84,290,0.0
84,85,294,0.0
85,86,297,0.0
86,87,301,0.0
87,88,304,0.0
88,89,308,0.0
89,90,311,0.0
90,91,315,0.0
91,92,318,0.0
92,93,322,0.0
93,94,325,0.0
94,95,329,0.0
95,96,332,0.0
96,97,336,0.0
97,98,339,0.0
98,99,343,0.0
99,100,346,0.0
100,101,350,0.0
101,102,353,0.0
102,103,357,0.0
103,104,360,0.0
104,105,364,0.0
105,106,367,0.0
106,107,371,0.0
107,108,374,0.0
108,109,378,0.0
109,110,381,0.0
110,111,385,0.0
111,112,388,0.0
112,113,392,0.0
113,114,395,0.0
114,115,399,0.0
115,116,402,0.0
116,117,406,0.0
117,118,409,0.0
118,119,413,0.0
119,120,416,0.0
120,121,420,0.0
121,122,423,0.0
122,123,427,0.0
123,124,430,0.0
124,125,434,0.0
125,126,437,0.0
126,127,441,0.0
127,128,444,0.0
128,129,448,0.0
129,130,451,0.0
130,131,455,0.0
131,132,458,0.0
132,133,462,0.0
133,134,465,0.0
134,135,469,0.0
135,136,472,0.0
136,137,476,0.0
137,138,479,0.0
138,139,483,0.0
139,140,486,0.0
140,141,490,0.0
