,time_IV,trial,time_DV
0,0.5,1,0.5007901191711426
1,1.0,1,1.0004899501800537
2,1.2,1,1.33262300491333
3,1.6,1,1.6005818843841553
4,2.4,1,2.401149034500122
5,2.5,1,2.5161468982696533
6,0.3,2,0.3010671138763428
7,1.5,2,1.500411033630371
8,1.8,2,1.8006880283355713
9,2.8,2,2.8001649379730225
10,0.7,3,0.7011878490447998
11,1.2,3,1.2010807991027832
12,1.8,3,1.8011510372161865
13,2.8,3,2.8006629943847656
14,3.6,3,3.6011247634887695
15,1.4,4,1.4001948833465576
16,2.6,4,2.6010401248931885
17,3.7,4,3.7011570930480957
