,color_red,color_green,word_red,word_green,task_color,verbal_red,verbal_green
0,0.75,0.0,0.75,0.0,0.5,0.8021488785743713,0.19785119593143463
1,0.5,0.25,0.0,0.0,0.25,0.5368963479995728,0.46310368180274963
2,0.0,0.0,0.5,0.0,0.5,0.5361906886100769,0.4638093113899231
3,1.0,0.0,0.75,0.0,0.5,0.8590369820594788,0.14096303284168243
4,0.75,0.25,0.0,0.0,0.25,0.5829654335975647,0.4170345366001129
5,0.25,0.0,0.5,0.0,0.5,0.6179090738296509,0.3820909559726715
6,1.0,0.25,0.0,0.0,0.25,0.644229531288147,0.35577043890953064
7,0.5,0.0,0.5,0.0,0.5,0.7013536691665649,0.29864630103111267
8,0.75,0.0,0.5,0.0,0.5,0.7800850868225098,0.21991494297981262
9,0.0,0.0,0.25,0.0,0.5,0.5152603387832642,0.48473966121673584
10,1.0,0.0,0.5,0.0,0.5,0.8420681357383728,0.1579318344593048
11,0.25,0.0,0.25,0.0,0.5,0.5979009866714478,0.40209904313087463
12,0.5,0.0,0.25,0.0,0.5,0.6834768652915955,0.31652316451072693
13,0.0,0.0,0.0,0.0,0.5,0.5,0.5
14,0.75,0.0,0.25,0.0,0.5,0.7653442025184631,0.23465578258037567
15,1.0,0.0,0.25,0.0,0.5,0.8305797576904297,0.1694202870130539
16,0.25,0.0,0.0,0.0,0.5,0.5831374526023865,0.4168625771999359
17,0.5,0.0,0.0,0.0,0.5,0.6701217889785767,0.32987821102142334
18,0.75,0.0,0.0,0.0,0.5,0.7542011737823486,0.24579881131649017
19,1.0,0.0,0.0,0.0,0.5,0.8218132853507996,0.17818674445152283
