,color_red,color_green,word_red,word_green,task_color,verbal_red,verbal_green
0,1.0,0.75,0.0,0.75,0.25,0.4673517644405365,0.5326482653617859
1,0.75,0.5,0.5,0.0,0.25,0.5726987719535828,0.4273012578487396
2,0.0,0.75,0.5,0.0,0.0,0.4713544249534607,0.5286455750465393
3,0.5,0.25,0.0,0.0,0.5,0.5831374526023865,0.4168625771999359
4,0.75,0.5,0.75,0.0,0.25,0.605034589767456,0.39496541023254395
5,0.5,0.25,0.25,0.0,0.5,0.5979009866714478,0.40209904313087463
6,0.0,0.75,0.25,0.0,0.0,0.45049673318862915,0.5495032668113708
7,0.75,0.75,1.0,0.0,0.0,0.6203758716583252,0.3796241581439972
8,1.0,0.75,1.0,0.0,0.0,0.6340399384498596,0.36596009135246277
9,0.75,0.25,0.25,0.0,0.5,0.6834768652915955,0.31652316451072693
10,0.25,0.25,0.0,0.0,0.5,0.5,0.5
11,0.25,0.75,0.5,0.0,0.0,0.5019625425338745,0.4980374872684479
12,1.0,0.0,0.25,0.0,0.75,0.884087085723877,0.11591295897960663
13,1.0,0.5,0.75,0.0,0.25,0.6487597823143005,0.35124021768569946
14,0.5,0.5,0.5,0.0,0.25,0.5361906886100769,0.4638093113899231
15,0.0,0.5,0.0,0.0,0.25,0.4170345366001129,0.5829654335975647
16,0.5,0.75,0.75,0.0,0.0,0.554826021194458,0.445173978805542
17,0.25,0.5,0.25,0.0,0.25,0.4783151149749756,0.5216848850250244
18,0.75,0.0,0.0,0.0,0.75,0.8363003134727478,0.163699671626091
19,1.0,0.25,0.5,0.0,0.5,0.7800850868225098,0.21991494297981262
