,trial,source_voltage,voltage0,voltage1,current0
0,1,1000,2,0,0.0
1,2,1500,10,992,0.000171
2,3,2000,14,1488,0.001373
3,4,2500,86,1800,0.297218
4,5,3000,219,1948,0.853708
5,6,3500,347,2104,1.390625
