,color_red,color_green,word_red,word_green,task_color,verbal_red,verbal_green
0,1.0,0.0,0.5,0.25,0.5,0.8305797576904297,0.1694202870130539
1,0.0,0.75,0.75,0.5,0.75,0.1722315102815628,0.8277685642242432
2,1.0,0.75,0.0,0.75,0.25,0.4673517644405365,0.5326482653617859
3,1.0,0.5,0.75,0.25,0.25,0.6177420020103455,0.38225796818733215
4,1.0,0.75,1.0,1.0,0.0,0.514606773853302,0.4853931963443756
5,0.0,0.0,0.0,0.5,0.75,0.4638093113899231,0.5361906886100769
6,0.5,1.0,1.0,0.25,0.25,0.48592230677604675,0.5140777230262756
7,0.0,0.25,0.25,1.0,0.25,0.39496541023254395,0.605034589767456
8,0.0,0.5,0.5,0.5,0.0,0.46576207876205444,0.5342379212379456
9,0.5,1.0,0.0,0.75,1.0,0.15907420217990875,0.8409257531166077
10,0.75,0.25,0.5,0.5,1.0,0.8000327944755554,0.19996720552444458
11,0.75,0.0,0.75,0.75,0.75,0.8363003134727478,0.163699671626091
12,0.0,1.0,1.0,0.75,0.75,0.12902633845806122,0.8709737062454224
13,0.75,0.0,1.0,1.0,0.25,0.644229531288147,0.35577043890953064
14,0.0,1.0,0.5,0.25,0.0,0.40341630578041077,0.5965837240219116
15,0.5,0.5,0.0,0.0,0.25,0.5,0.5
16,0.75,0.0,0.25,0.0,0.0,0.5795153975486755,0.4204845428466797
17,0.75,1.0,0.5,0.75,1.0,0.30622348189353943,0.693776547908783
18,0.0,0.75,1.0,1.0,0.25,0.35577043890953064,0.644229531288147
19,0.5,0.5,0.0,1.0,0.5,0.3796241581439972,0.6203758716583252
20,0.5,0.0,1.0,0.75,0.75,0.7734907865524292,0.226509228348732
21,0.0,0.75,1.0,0.5,0.0,0.4713544249534607,0.5286455750465393
22,0.5,0.5,0.5,0.75,0.25,0.48473966121673584,0.5152603387832642
23,0.5,0.25,0.25,0.5,0.25,0.5216848850250244,0.4783151149749756
24,0.75,0.75,0.75,0.0,0.5,0.5692111253738403,0.43078887462615967
25,0.5,0.0,0.75,0.5,0.75,0.7734907865524292,0.226509228348732
26,0.25,0.5,0.25,0.25,0.0,0.4853931963443756,0.514606773853302
27,0.5,0.75,0.5,0.75,1.0,0.30622348189353943,0.693776547908783
28,0.25,0.5,0.75,0.5,0.0,0.5006541013717651,0.4993458688259125
29,0.75,0.0,0.0,0.5,0.25,0.6103427410125732,0.38965725898742676
30,0.75,0.5,0.75,0.5,1.0,0.693776547908783,0.30622348189353943
31,1.0,0.75,1.0,1.0,0.25,0.5368963479995728,0.46310368180274963
32,0.25,0.75,0.75,0.5,0.5,0.34351348876953125,0.6564865112304688
33,0.0,0.75,0.0,0.5,0.0,0.4001738727092743,0.5998261570930481
34,0.75,0.25,0.75,0.5,0.5,0.6834768652915955,0.31652316451072693
35,0.75,0.25,0.5,1.0,0.5,0.6373127698898315,0.36268725991249084
36,0.75,0.0,0.75,1.0,0.5,0.742706835269928,0.25729313492774963
37,1.0,1.0,0.25,0.75,1.0,0.4638093113899231,0.5361906886100769
38,0.0,0.0,0.25,0.0,0.0,0.5152603387832642,0.48473966121673584
39,0.25,0.0,0.5,0.0,0.0,0.5506902933120728,0.44930967688560486
40,0.0,1.0,0.5,0.0,0.75,0.1387586146593094,0.861241340637207
41,0.25,0.0,1.0,0.75,0.25,0.5520395040512085,0.4479605257511139
42,1.0,0.0,1.0,0.75,1.0,0.8986003994941711,0.10139959305524826
43,0.25,0.0,0.25,1.0,0.5,0.5142543911933899,0.4857456088066101
44,0.25,0.0,0.25,0.5,0.75,0.6332029700279236,0.3667970597743988
45,0.75,1.0,0.5,0.0,0.75,0.38650527596473694,0.6134947538375854
46,0.25,0.25,0.75,0.25,1.0,0.5361906886100769,0.4638093113899231
47,1.0,0.5,1.0,1.0,0.0,0.5342379212379456,0.46576207876205444
48,0.25,0.5,0.5,0.0,0.75,0.38650527596473694,0.6134947538375854
49,0.75,0.5,0.75,0.75,0.75,0.6472658514976501,0.35273414850234985
50,0.25,0.0,0.75,1.0,0.5,0.5682232975959778,0.4317767024040222
51,0.25,0.75,0.5,0.75,0.75,0.226509228348732,0.7734907865524292
52,0.25,0.25,0.75,1.0,0.25,0.48473966121673584,0.5152603387832642
53,1.0,0.5,0.0,0.5,1.0,0.7758219838142395,0.22417795658111572
54,0.5,1.0,0.75,0.0,1.0,0.24826893210411072,0.7517310976982117
55,0.25,0.0,0.25,1.0,0.75,0.5813722610473633,0.41862770915031433
56,0.75,0.25,1.0,0.25,0.25,0.6487597823143005,0.35124021768569946
57,0.75,0.75,0.5,0.75,1.0,0.48473966121673584,0.5152603387832642
58,0.25,0.25,0.25,0.25,0.5,0.5,0.5
59,0.25,0.25,0.5,0.5,1.0,0.5,0.5
60,0.75,0.5,0.5,1.0,0.25,0.5007094740867615,0.4992905259132385
61,0.0,1.0,0.25,0.5,0.5,0.1694202870130539,0.8305797576904297
62,1.0,0.0,0.5,1.0,0.5,0.7995789051055908,0.20042109489440918
63,1.0,1.0,0.25,0.5,0.5,0.48473966121673584,0.5152603387832642
64,0.5,1.0,0.75,0.5,0.0,0.4809826612472534,0.5190173387527466
65,1.0,0.25,0.0,0.0,0.25,0.644229531288147,0.35577043890953064
66,0.5,0.5,0.25,0.5,0.75,0.48473966121673584,0.5152603387832642
67,1.0,0.25,0.75,0.5,1.0,0.8694652915000916,0.13053472340106964
68,0.5,1.0,0.0,0.0,0.5,0.32987821102142334,0.6701217889785767
69,1.0,0.5,0.75,0.75,0.25,0.5829654335975647,0.4170345366001129
70,1.0,0.25,0.0,0.25,0.5,0.742706835269928,0.25729313492774963
71,0.75,0.0,0.5,0.75,0.75,0.8277685642242432,0.1722315102815628
72,0.75,0.5,1.0,0.5,0.75,0.6796271204948425,0.32037287950515747
73,0.25,0.75,0.5,0.5,0.5,0.32987821102142334,0.6701217889785767
74,0.5,0.5,0.5,0.25,0.25,0.5152603387832642,0.48473966121673584
75,0.0,0.5,0.5,0.75,0.25,0.4022691249847412,0.5977308750152588
76,1.0,1.0,0.25,0.5,0.0,0.48473966121673584,0.5152603387832642
77,0.75,1.0,0.0,0.0,0.0,0.4853931963443756,0.514606773853302
78,0.0,1.0,0.25,0.0,0.0,0.40341630578041077,0.5965837240219116
79,0.5,0.25,0.5,0.25,0.5,0.5979009866714478,0.40209904313087463
80,0.0,0.0,1.0,0.25,0.0,0.5692111253738403,0.43078887462615967
81,1.0,0.0,0.75,0.5,0.0,0.6255964040756226,0.37440356612205505
82,0.25,0.5,0.0,0.25,0.5,0.40209904313087463,0.5979009866714478
83,0.75,1.0,0.5,0.0,0.0,0.5216296315193176,0.4783703088760376
84,0.75,0.75,0.5,1.0,0.75,0.4638093113899231,0.5361906886100769
85,0.25,0.5,1.0,0.25,0.25,0.5326482653617859,0.4673517644405365
86,0.0,0.25,1.0,0.75,0.0,0.5006541013717651,0.4993458688259125
87,0.75,0.0,0.5,0.5,1.0,0.8623774647712708,0.13762247562408447
88,0.0,0.75,0.25,0.75,0.0,0.4001738727092743,0.5998261570930481
89,0.25,1.0,0.25,1.0,0.75,0.12902720272541046,0.8709728121757507
90,0.75,0.0,0.5,0.25,0.5,0.7653442025184631,0.23465578258037567
91,1.0,0.25,0.5,0.5,0.5,0.7542011737823486,0.24579881131649017
92,0.5,0.25,0.5,0.5,0.0,0.514606773853302,0.4853931963443756
