,color_red,color_green,word_red,word_green,task_color,verbal_red,verbal_green
0,0.5,0.25,0.0,0.0,1.0,0.6806530356407166,0.31934699416160583
1,1.0,0.75,0.5,0.0,0.5,0.6179090738296509,0.3820909559726715
2,0.75,0.25,0.75,0.0,1.0,0.8409257531166077,0.15907420217990875
3,1.0,0.5,1.0,0.0,0.75,0.8399978280067444,0.1600022166967392
4,0.75,0.5,0.25,0.0,0.75,0.6610782146453857,0.33892178535461426
5,1.0,0.75,0.25,0.0,0.5,0.5979009866714478,0.40209904313087463
6,0.75,0.25,0.5,0.0,1.0,0.822227954864502,0.17777200043201447
7,1.0,0.5,0.75,0.0,0.75,0.8093358874320984,0.19066408276557922
8,0.75,0.5,0.0,0.0,0.75,0.6472658514976501,0.35273414850234985
9,1.0,0.75,0.0,0.0,0.5,0.5831374526023865,0.4168625771999359
10,1.0,0.25,1.0,0.0,1.0,0.9110336899757385,0.0889662504196167
11,0.75,0.25,0.25,0.0,1.0,0.809622585773468,0.1903773993253708
12,1.0,0.5,0.5,0.0,0.75,0.787861704826355,0.2121383100748062
13,1.0,0.25,0.0,0.0,1.0,0.8623774647712708,0.13762247562408447
14,1.0,0.25,0.75,0.0,1.0,0.892238438129425,0.10776159912347794
15,1.0,0.25,0.25,0.0,1.0,0.8694652915000916,0.13053472340106964
16,0.75,0.25,0.0,0.0,1.0,0.8000327944755554,0.19996720552444458
17,1.0,0.5,0.25,0.0,0.75,0.7734907865524292,0.226509228348732
18,1.0,0.5,0.0,0.0,0.75,0.7626146078109741,0.23738540709018707
19,1.0,0.25,0.5,0.0,1.0,0.8787020444869995,0.12129801511764526
