,color_red,color_green,word_red,word_green,task_color,verbal_red,verbal_green
0,0.75,0.25,0.25,1.0,1.0,0.7517310976982117,0.24826893210411072
1,1.0,0.25,0.5,0.75,0.75,0.8277685642242432,0.1722315102815628
2,0.75,0.25,0.0,1.0,1.0,0.7099940776824951,0.2900058925151825
3,0.25,0.5,0.0,0.5,0.5,0.3820909559726715,0.6179090738296509
4,0.75,0.25,0.75,0.75,0.75,0.7626146078109741,0.23738540709018707
5,0.0,1.0,0.0,1.0,0.0,0.28020304441452026,0.7197969555854797
6,0.5,0.25,1.0,0.75,0.75,0.6610782146453857,0.33892178535461426
7,1.0,0.25,1.0,1.0,0.75,0.8363003134727478,0.163699671626091
8,0.0,0.25,1.0,1.0,1.0,0.31934699416160583,0.6806530356407166
9,0.5,0.5,0.25,0.75,0.5,0.4638093113899231,0.5361906886100769
10,0.25,0.25,0.25,0.75,1.0,0.4638093113899231,0.5361906886100769
11,0.75,0.5,0.5,1.0,0.5,0.5475186109542847,0.45248135924339294
12,0.5,0.25,0.5,1.0,1.0,0.648341715335846,0.35165825486183167
13,0.0,0.75,0.75,1.0,0.25,0.3419019877910614,0.6580979824066162
14,1.0,0.5,0.25,1.0,0.5,0.6058982014656067,0.3941017985343933
15,0.0,0.5,0.25,1.0,0.75,0.19066408276557922,0.8093358874320984
16,0.0,0.25,0.0,0.5,1.0,0.28868263959884644,0.7113174200057983
17,0.0,0.25,0.5,0.75,1.0,0.30622348189353943,0.693776547908783
18,0.25,0.5,0.0,1.0,0.75,0.250079870223999,0.749920129776001
19,0.25,0.25,0.75,1.0,1.0,0.48473966121673584,0.5152603387832642
