Pow2 32913
Pow3 3679
cosh 273
Add 76339
Abs 4553
sec 243
Mul 143927
tan 1068
log 3962
sqrt 7986
Neg 29054
Not 2
factorial2 40
sin 4695
Mod 15
factorial 713
binomial 326
sinh 306
Div 44288
coth 20
And 21
cos 4390
cot 242
tanh 112
Pow 30942
exp 6983
